2026-02-02T22:12:12.914881694Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:12:16.800077012Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:12:19.490912345Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:12:20.321103842Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:12:21.360331375Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:16:49.882695001Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:16:51.205435159Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070326030 | cif=123456789 | status=FAILED
2026-02-02T22:22:31.688975364Z | ip=0:0:0:0:0:0:0:1 | user=UNAUTHORIZED | transId=UNKNOWN | cif=UNAUTHORIZED | status=FAILED
2026-02-02T22:22:40.956030333Z | ip=0:0:0:0:0:0:0:1 | user=UNAUTHORIZED | transId=UNKNOWN | cif=UNAUTHORIZED | status=FAILED
2026-02-02T22:22:42.216399908Z | ip=0:0:0:0:0:0:0:1 | user=UNAUTHORIZED | transId=UNKNOWN | cif=UNAUTHORIZED | status=FAILED
2026-02-02T22:23:10.387948876Z | ip=0:0:0:0:0:0:0:1 | user=staff_user_01 | transId=TXN-1770070987519 | cif=123456789 | status=SUCCESS
2026-02-02T22:23:32.085671400Z | ip=127.0.0.1 | user=staff_user_01 | transId=TXN-1770070987519 | cif=123456789 | status=SUCCESS
